"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Islas Caimán","CYM","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Chipre","CYP","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351034","359709","363014","370304","378757","388178","398430","409359","420762","432477","444376","466012","478168","499598","510737","524879","541304","562541","574967","584396","602913","608583","612980","618239","628856","620365","615687","625144","638543","649712","651740","666826","675104"
"República Checa","CZE","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4975962","5010134","5050209","5089950","5143884","5166080","5168271","5144206","5158527","5180055","5145060","5113433","5111439","5111710","5110793","5171492","5191920","5188504","5211811","5255696","5239650","5222763","5254149","5302824","5300088","5309480","5354440","5386053","5425122","5421467","5375292","5274427","5307542"
"Alemania","DEU","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38653849","39804078","39606053","39581564","39633067","39488772","39594509","39749960","39817898","40025495","39865801","40029198","40056637","40236914","40039826","41239999","41693116","41861246","41917490","41978630","41949335","41729225","41853628","42212988","42458390","42660629","43567225","43819028","43935038","44433744","43501190","43386527","43958767"
"Djibouti","DJI","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120126","131343","130342","127734","130235","131754","135125","141263","148782","155131","160449","166178","171588","174770","176357","178300","180817","184112","187329","190717","194134","198220","202429","206808","211319","215865","220843","225672","230408","235094","230671","238367","244880"
"Dominica","DMA","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dinamarca","DNK","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2905194","2903665","2924273","2898901","2775171","2793251","2827134","2841305","2832388","2861273","2853060","2841507","2868928","2868194","2895623","2893154","2917717","2924753","2918710","2909160","2888564","2887130","2871734","2850392","2865028","2895364","2939677","2966464","2990219","3032098","3028252","3070703","3121238"
"República Dominicana","DOM","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2470572","2533000","2615850","2692489","2762003","2840318","2919585","3005348","3087328","3168452","3246426","3246913","3331113","3342971","3424410","3480356","3593807","3660256","3757662","3690074","3844470","4015614","4176432","4236156","4325193","4579344","4685793","4752184","4931651","5091385","4804576","5101650","5277616"
"Argelia","DZA","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6367101","6625804","6864265","7143936","7424464","7678597","7968414","8233015","8477091","8701391","8926622","9145785","9355943","9556009","9747177","9916026","10077549","10244513","10402784","10551825","10832192","11067848","11293832","11793700","11279335","11709818","11918421","12067162","12221429","12396383","11857820","12260834","12638622"
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","846507443","859482539","873320542","885631937","901094495","915832676","931300131","946692368","963186453","978168707","993279506","1005366318","1016382718","1028011740","1039780247","1050284784","1059746553","1070514993","1075999072","1079837550","1083558013","1095069305","1101065468","1103993361","1109809034","1114404690","1117012681","1117675468","1121724683","1125796470","1098497741","1105408870","1113666373"
"inicial del dividendo demográfico","EAR","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705802861","724943014","744138369","760844476","782649874","804530117","829263650","854933011","881575130","908368941","933518546","951229616","966779110","985373549","1005094890","1022149420","1044396615","1069848647","1090276709","1112632185","1136073708","1154268696","1172728284","1185490810","1196654645","1212229162","1225687472","1239632795","1253146662","1294496951","1278395306","1289340916","1327043781"
